State,District,Contact Person,Phone No.,Email,Address
Arunachal Pradesh,SIANG,Ateng Pertin,91-8414807620,dcpopangin[at]gmail[dot]com,"ICDS Office ,Pangin"
Arunachal Pradesh,Tawang,Dondup Pema,379-222493,cdpotawangicds[at]gmail[dot]com,CDPO ICDS Project Tawang PO-Tawang District Tawang Pin-90104
Arunachal Pradesh,Tirap,Hacham Bangsia,3786-222937,ddicds[dot]tirap[at]gmail[dot]com,Khonsa Tirap Dist Arunachal Pradesh
Arunachal Pradesh,Upper Siang,Ojing Talom,3777-9863016156,ddicdsykg[at]gmail[dot]com,DD Yingkiong Dist Upper Siang Arunachal Pradesh
Arunachal Pradesh,Upper Siang,Ojing Talom,3777-9863016156,ddicdsykg[at]gmail[dot]com,DD Yingkiong Dist Upper Siang Arunachal Pradesh
Arunachal Pradesh,Upper Siang,Ojing Talom,3777-9863016156,ddicdsykg[at]gmail[dot]com,DD Yingkiong Dist Upper Siang Arunachal Pradesh
Arunachal Pradesh,Upper Subansiri,Shri Kina Taka,3792-223452,ddicdsdaporijo[at]gmail[dot]com,Deputy Director ICDS District ICDS Cell PO-Daporijo District Upper Subansiri Pin-791122
Arunachal Pradesh,West Kameng,R T Deru,3782-222369,ddicdsbomdila[at]gmail[dot]com,Deputy Director cum DCPO District ICDS Cell PO-Bomdila District-West Kameng AP Pin-790001
Arunachal Pradesh,West Siang,Yabi Riba Ete,3783-222532,aaloddicds[at]gmail[dot]com,Deputy Director ICDS District ICDS Cell PO-Aalo District West Siang Pin-791001
Assam,Baksa,Dhanjit Choudhury,91-9678975206,dcpubaksa[at]gmail[dot]com,District Center.Room No-11.Mushalpur.Baksa.Assam.
Assam,BARPETA,Jitul Bora,3665-000000,dcpubarpeta[at]gmail[dot]com,Disrtict Child Protectction Unit Krishna NagarHouse no 116 Barpeta town dist-Barpeta Assam 781301
Assam,Biswanath,Lakhimai Bora,0-9365353478,biswanathdcpu[at]gmail[dot]com,"District Child Protection Unit, Bamgaon, ward no 12, biswanath Chariali, Pin 784176"
Assam,Bongaigaon,Dr. Surashree Pathak,0-000000,dcps[dot]bongaigaon[at]gmail[dot]com,"District Child Protection Unit, Deuripara near Bongaigaon session court, Bongaigaon 783380"
Assam,CACHAR,SUKANYA NANDI PURKAYASTHA,91-8876382302,dcposilchar[at]rediffmail[dot]com,SUKHADAPALLY ITHHOLA OPP. MEDILAND HOSPITAL SILCHAR CACHAR ASSAM
Assam,Charaideo,Nirupam Chutia,377-000000,dcpucharaideo[at]gmail[dot]com,"Deputy Commissioner Office, Charaideo Assam"
Assam,Chirang,Dr. Surashree pathak,0-0000000,dcpschirang[at]gmail[dot]com,Office of District Child Protection Officer Near Kajalgaon Flyover PO kajalgaon PS Dhaligaon Dist Chirang
Assam,DARRANG,Mrs Kanaklata Baruah,3713-000000,dcpodarrang[at]gmail[dot]com,"Office of the PO Cum DCPO Darrang Mangaldai ,Near bus stand , Pin-784125"
Assam,DHEMAJI,Mr. Alex Doley,3753-0000000000,dcpodhemaji[at]gmail[dot]com,"Station Road, Narah Bhawan, Ward No. 3, P.O. Dhemaji, P.S. Dhemaji, Pin. 787057"
Assam,DHUBRI,NOOR ALOM,0-,dcpu[dot]dhubri[at]gmail[dot]com,"Ward No- 2 , M G Road, Near Sale Tax Office PO- Dhubri District -Dhubri Pin-783301"
Assam,DIBRUGARH,Sri Trishiddha Nath,370-000000,dcpudibrugarh[at]gmail[dot]com,District Child Protection Unit Dibrugarh. Dr. Lila Gogoi Path Jivan Phukan Nagar P.O. C.R. Building - 786003
Assam,Dima Hasao,SUSANTA LANGTHASA,0-0000000000,dcpudimahasao[at]gmail[dot]com,NEAR JK SERVICING CENTRE HAFLONG DIMA HASAO ASSAM
Assam,Goalpara,Mostofa Hussain,0-9707553951,icpsglp[at]gmail[dot]com,"Office of the District Child Protection Officer, Opposite Satsang Vihar, Near District Malaria Office. P.O.- Baladmari PS and District- Goalpara, Assam PIN-783101"
Assam,GOLAGHAT,Dr Snigdha Ghosh,0-0000000000,dcpugolaghat[at]gmail[dot]com,Court Road. Near chanoo kheria clinic Dist. Golaghat - 785621 Assam
Assam,HAILAKANDI,Md Jalal Uddin,844-000000,hailakandi[dot]dcpu[at]gmail[dot]com,Old Hospital Road PS- Hailakandi PO- Hailakandi Dist- Hailakandi 788151
Assam,Hojai,Mr Niranjan Talukdar,91-00000000,dcpuhojai[at]gmail[dot]com,"Sankardev Nagar, PO and PS Lanka, Dist Hojai"
Assam,JORHAT,DCPO JORHAT,376-0000000,dcpu[dot]jorhat[at]gmail[dot]com,"Office of the District Child Protection Officer, Malow Ali, Jorhat"
Assam,KAMRUP,Malabika Kalita,0-000000000,dcpokamrup[at]gmail[dot]com,"Office of the DCPO, Kamrup, Amingaon Hajo Chowk, near Sani Mandir, Bandhan Bank Campus Madhyam Amingaon"
Assam,Kamrup Metropolitan,SMT LANEE BARUAH,361-2470035,kamrupmetrodcpu[at]gmail[dot]com,"Fatasil Ambari, Campus of Children home for boys Fatasil Ambari near mora bharalu pump house Guwahati 781025"
Assam,KARBI ANGLONG,Basapi Terangpi,91-8474083011,dcpuka[at]gmail[dot]com,"Office of the District Child Protection Officer District Child Protection Unit, Karbi Anglong Diphu Pin Code-782460"
Assam,KARIMGANJ,District Child Protection Officerr,3843-012345,jjbkxj14[at]gmail[dot]com,District Child Protection Unit Karimganj Azad Sagar road. Near Settlement Idgah P.o and Dist- Karimganj Pin-788710
Assam,KOKRAJHAR,Chaolao Brahma,91-8638167556,probationofficer[dot]kokrajhar[at]gmail[dot]com,District Child Protection Unit PO. Kokrajhar. Dist. Kokrajhar BTAD Assam PIN 783370
Assam,LAKHIMPUR,IC PO NIC,91-7002347852,dcpo[dot]nlp[at]gmail[dot]com,Office of the District Child Protection Officer Tirtheswar Hazarika Path Ward No.- 7 P.O.- North Lakhimpur Dist- Lakhimpur Pin- 787001 Assam
ASSAM,MAJULI,DCPU MAJULI,377-0000000,dcpumajuli[at]gmail[dot]com,"GARAMUR,MAJULI-785104"
Assam,MARIGAON,Ms. Barnali Rajkumari PO NIC,3678-0000000000,dcpumorigaon[at]gmail[dot]com,"Morigaon College Road Opposite Central bank of India Morigaon Ward no-7, Pin-782105"
Assam,NAGAON,Anjali Arya,0-0000000000,nagaondcpo2019[at]gmail[dot]com,"A.D.P. Road, Christian patty, Near Nagaon Baptist Church, P.O.- Nagaon, P.S.- Sadar, Pin – 782001, Dist – Nagaon ( Assam )"
Assam,Nalbari,Binita Devi,0-,dcpu[dot]nalbari[at]gmail[dot]com,"Shantipur, Ward No-12, near Nalbari Art School, Nalbari Hajo road."
Assam,SIVASAGAR,Rupa Gogoi,985-4277141,dcposivasagar[at]gmail[dot]com,West Jamuna Road New Colony Ward No 2 P.O. P.S.Sivasagar Assam
Assam,SONITPUR,Dibangana Mohan,0-,dcpusonitpur[at]gmail[dot]com,Office of The District Child Protection Officer Tezpur Sahitya Sabha Bhawan 1st Floor Court Chariali Sonitpur Tezpur 784001
Assam,South Salmara Mankachar,"District Child Protection Officer,South Salmara",366-2286624,dcpu[dot]ssmkcr[at]gmail[dot]com,"H.M.ROAD FEKAMARI, P.O. FEKAMARI,P.S.MANKACHAR, DIST-SOUTH SALMARA MANKACHAR,ASSAM-783135"
Assam,TINSUKIA,Monjit Doley,91-8638167348,dcpotinsukiaassam[at]gmail[dot]com,DISTRICT CHILD PROTECTION UNIT BORGURI PO- BORGURI NEAR BORGURI KALI MANDIR PIN- 786126
Assam,Udalguri,Dr Pallabi Sarmah,91-9864085125,dcpuudalguri[at]gmail[dot]com,District Child Protection Office-Nearby Golmagaon High School Udalguri BTAR Assam
Bihar,Araria,Shambhu kumar Rajak,834-0721879,adcpuararia123[at]gmail[dot]com,Collectorat Campus Arariya
Bihar,Arwal,Santosh Kumar Choudhary,0-,adcpuarwal[at]gmail[dot]com,"Kishan Bhawan, 1st Floor, Block campus, Arwal"
Bihar,Aurangabad,ANITA KUMARI,0-000000,adcp[dot]aurangabad[at]gmail[dot]com,One Stop Building Collectorate Campus
Bihar,Banka,ABHAY KUMAR,0-9835657900,adcpbanka[at]gmail[dot]com,Collectorate Campus Banka
Bihar,Begusarai,SRI BASUDEO KUMAR KASHYOP,0-,dcpubeg[at]gmail[dot]com,New Chankynagar Near Dr. Caption Arbind kumar sinha pokharia begusarai 851101
Bihar,Bhagalpur,VIKASH KUMAR,641-2301058,adcpubgp[at]gmail[dot]com,DISTRICT CHILD PROTECTION UNIT DRDA BUILDING 1st FLOOR colectoriate campus BHAGALPUR
Bihar,Bhojpur,Cpo,6182-7992332507,dcpuarrah1[at]gmail[dot]com,Dcpu Bhojpur near Bandobast office ramana maidan ara bhojpur
Bihar,Buxar,VIKASH KUMAR,91-7050077444,adcpubuxar1[at]gmail[dot]com,DIST. CHILD PROTECTION UNIT COLLECTORATE CAMPUS BUXAR
Bihar,Darbhanga,Miss Neha Kumari,854-4428510,adcpudarbhanga[at]gmail[dot]com,collectotare darbhanga Laheriya Sarai Darbhanga
Bihar,Gaya,Kumar Satyakam,631-2222351,adcpu-gaya[dot]bih[at]gov[dot]in,JILA PARISHAD CAMPUS GAYA
Bihar,Gopalganj,Shri Prashant Mishra,0-,dcpsgopalganj[at]gmail[dot]com,"District Child Protection Unit, 1st floor, Zila Suchna Bhawan, Collectorate Campus, Gopalganj 841428"
Bihar,Jamui,SOORAJ KUMAR,997-1383071,adcpjamui[at]gmail[dot]com,Digambar Singh house near forest office Bombay colony jamui
Bihar,Jehanabad,Mala Kumari,860-5813300,adcp02jehanabad[at]gmail[dot]com,"District Child Protection Unit, Ghoshi Road, Near LIC Office, Jehanabad"
Bihar,Kaimur (Bhabua),Rajan Kumar Assistant Director dcpu,0-000000,dcpukaimur1[at]gmail[dot]com,Collectorate Kaimur bhabua 821101
Bihar,Katihar,AMRESH KUMAR,6452-239056,adcpkatihar[at]gmail[dot]com,BMP-7 Shivpuri Katihar
Bihar,Khagaria,Bashudeo Kumar Kashyap,980-1706313,adcpkhagaria[at]gmail[dot]com,DCPU Collectorate Campus Khagaria
Bihar,Kishanganj,Assistant Director CPU,6456-295183,adcpkishanganj[at]gmail[dot]com,DRDA Campus Collectorate kishanganj
Bihar,Lakhisarai,RUPESH KUMAR,0-,adcpulkr12[at]gmail[dot]com,DCPU Collectorate Campus Lakhisarai
Bihar,Madhepura,BIJETA RANJAN,91-7488561954,adcpumdp85[at]gmail[dot]com,Collectorate Campus Madhepura
Bihar,Madhubani,Ashish Prakash Aman,6276-296004,dcpumdb[at]yahoo[dot]co[dot]in,Ayachi Nagar Near Town Hall MADHUBANI- 847211
Bihar,Munger,ANIMESH KUMAR CHANDRA,6344-222009,addcpu[dot]munger-bih[at]gov[dot]in,"FORT AREA, ZILA SUCHNA KENDRA, MUNGER 811201"
Bihar,Muzaffarpur,DILEEP KUMAR KAMAT ASSISTANT DIRECTOR,0-,adcpumuzaffarpur[at]gmail[dot]com,DISTRICT CHILD PROTECTION UNIT COLLECTORATE MUZAFFARPUR
Bihar,Nalanda,Asst. Director,6112-233880,adcpunalanda1[at]gmail[dot]com,District Child Protection unit Nalanda Asmat Villa Kazgi mohalla biharsharif nalanda
Bihar,Nawada,ADCPU,6324-213621,dcpunwd[at]gmail[dot]com,RAJENDRA NAGAR NAWADA
Bihar,Pashchim Champaran,Mr. Abhay Kumar,625-4244189,addcpubettiah2014[at]gmail[dot]com,OLD DTO OFFICE INFRONT OF DCLR OFFICE BETTIAH BIHAR
Bihar,Patna,Uday Kumar Jha,612-2219087,adcpupatna[at]gmail[dot]com,Vikas Bhawan 2nd Floor Collectorate Patna
Bihar,Purbi Champaran,Shivendra Kumar,91-8130272483,dcpu-ech-bih[at]gov[dot]in,Collectorate Campus Motihari
Bihar,Purnia,Baby Rani,64-54244530,adcpurnea[at]gmail[dot]com,DCPU Collectorate Campus Purnea
Bihar,Rohtas,RAJEEV RANJAN,0-,adcp[dot]rohtas[at]bihar[dot]gov[dot]in,"Collectorate Campus, Sasaram, Rohtas"
Bihar,Saharsa,Assistant Director Child Protection,6478-222589,adcpsaharsa[at]gmail[dot]com,Mahrana Pratap Chowk Gautamnagar Ward No-12 Gangjala Saharsa Pin- 852201
Bihar,Samastipur,Akash,6274-295548,adcpsamastipur[at]gmail[dot]com,"ADCPU Samastipur ,Court Campus ,Samastipur,Bihar,848101"
Bihar,Saran,RAVI PRAKASH,61-52295294,dcpuchapra7[at]gmail[dot]com,District Child Protection Unit Near at Nandan Library H.O Shyam Babu Vishwakarma Sadhnapuri Saran 841301
Bihar,Sheikhpura,ANIL KUMAR PATEL,63-41223075,dcpusheikhpura2014[at]gmail[dot]com,Collectorate Campus Sheikhpura
Bihar,Sheohar,ASSISTANT DIRECTOR DISTRICT CHILD PROTECTION UNIT,622-257363,adcpusheohar[dot]bih[at]gmail[dot]com,"DISTRICT CHILD PROTECTION UNIT, 1st FLOOR COLLECTORATE BUILDING, COLLECTORATE CAMPUS SHEOHAR, BIHAR, PIN- 843329"
Bihar,Sitamarhi,SONI KUMARI,6226-250037,adcpu[dot]sit01[at]gmail[dot]com,"KAILASHPURI, DUMRA, SITAMARHI."
Bihar,Siwan,Assistant Director,0-7783801954,adcpsiwan[at]gmail[dot]com,CHHATH GHAT NAYI BASTI MAHADEWA SIWAN PIN 841226
Bihar,Supaul,Assistant Director,6473-358229,adcpu-sup[dot]bih[at]gov[dot]in,"PIPRA ROAD, YADAV COMPLEX, WARD NO.-04, SUPAUL, PIN-852131"
Bihar,Vaishali,SRI BINOD KUMAR THAKUR,0-9471291749,dcpuvslhajipur1[at]gmail[dot]com,Collectorate Campus Hazipur
Chandigarh,Chandigarh,CPO,172-2643654,dcps[dot]chd[at]gmail[dot]com,District Child Protection Society Room No.102 1st Floor Snehalaya Maloya Chandigarh
Chhattisgarh,Balod,NARENDRA SAHU,7749-223941,dcpobalod[at]gmail[dot]com,office of collectred disttrict balod
Chhattisgarh,Baloda Bazar,Prakash Das,7727-222253,dcpubalodabazar[at]gmail[dot]com,Old Collectorate building collectorate Compound Baloda Bazar
Chhattisgarh,Balrampur,Mr. Harish Abdulla,7831-273088,icpswcdbalrampur[at]gmail[dot]com,WCD Balrampur
Chhattisgarh,Bastar,Vijay Shankar Sharma,7782-222680,icpsjagdalpur[at]gamil[dot]com,Composit Building Collector campus Mahila Evam Bal Vikas Vibhag Jagdalpur Distrct- Bastar C.G.
Chhattisgarh,Bijapur,Rahul Kaushik,7853-220346,icpsbijapur2014[at]gmail[dot]com,WCD Bijapur
Chhattisgarh,Bilaspur,Umashanker Gupta Incharge DCPO,91-9098499320,bspdcpu[at]gmail[dot]com,District Child Protection Unit Observation Home Campus Nutan Chaok Sarkanda distt -bilaspur c.g. pin 495001 chhattisgarh
Chhattisgarh,Dantewada,Ravi Shankar Sanadya,7856-252429,dcpudantewada01[at]gmail[dot]com,"New Composite Collectorate Building, Second Flore, Room Number 230, Awarabhata, Dantewada 494449"
Chhattisgarh,Dhamtari,anand pathak,7722-232070,anandpathak673[at]gmail[dot]com,wcd dhamtari
Chhattisgarh,Durg,PREETI DANGRE PO,788-2213363,dcpodurg[at]gmail[dot]com,five building women and child development department dist Durg
Chhattisgarh,Gariyaband,Anil Dwivedi,7706-241283,anildwivedi917[at]gmail[dot]com,Room No 57 And 58 first floor district child protection unit woman and child development department Gariaband
Chhattisgarh,Janjgir - Champa,Mr. Gajendra Singh Jaiswal,91-8963997174,janjgirdcpu[at]gmail[dot]com,District Child Protection Unit Women And Child Devlopment Deptt. Distt. Janjgir-Champa C.G.
Chhattisgarh,Jashpur,Mr. Chandra Shekhar Yadav,0-,dcpujashpur[at]gmail[dot]com,BEHIND RANJEETA STADIUM BHAGALPUR ROAD JASHPUR NAGAR
Chhattisgarh,Kanker,Shri Ashok Kaushik,7868-241289,icpskanker[at]gmail[dot]com,"District Child Protection Unit, WCD , District Collectrate Utter Baster Kanker"
Chhattisgarh,Kawardha,SATYANARAYAN RATHORE,7741-232544,dcpokwd[at]gmail[dot]com,district office WCD Office of District Child Protection Officer Kawardha
Chhattisgarh,Kondagaon,Narendra soni,77862-243667,dcpukondagaon[at]gmail[dot]com,DCPU kondagaon behind sakhi one stop centre district court road district kondagaon pincode 494226
Chhattisgarh,Korba,Dya Das Mahant,0-9827487461,korbadcpu[at]gmail[dot]com,NEAR RTO OFFICE JUVENILLE JUSTICE BOARD COMPOUND RAMPUR KORBA PIN NO.-495677
Chhattisgarh,Korea,ASHISH KUMAR GUPTA,7836-232439,icpskoria[at]gmail[dot]com,DRISTRIC PROGREM OFFICER WOMEN AND CHILD DIPARTMENT DISTRICT CHILD PROTECTION UNIT KOREA C.G
Chhattisgarh,Mahasamund,Khemraj Choudhary,7723-224202,dcpumahasamund[at]gmail[dot]com,Dist Child Protection Officer Old Tahsil Office Campus Mahasamund Dist Mahasamund CG
Chhattisgarh,Mungeli,Smt. Anjubala Shukla,7755-205210,icpsmungeli[at]gmail[dot]com,Police Line Road Karhi Karhi Mungeli CG
Chhattisgarh,Narayanpur,Mr. Ajeet singh,7781-252843,narayanpuricps[at]gmail[dot]com,Department of Women and child development Narayanpur
Chhattisgarh,Raigarh,Deepak Dansena,7762-224491,dcpsraigarh[at]gmail[dot]com,mini stadium road WCD Office Raigarh C.G.
Chhattisgarh,Raipur,Smt RASHMIBALA TIWARI,771-4283109,icpsraipur[at]gmail[dot]com,"DCPU, OLD POLICE HEAD QUARTER CAMPUS, RAIPUR, CHHATTISGARH"
Chhattisgarh,Rajnandgaon,CHANDRA KISHOR LADE,7744-220405,dcpurjn[at]gmail[dot]com,"OFFICE OF DISTRICT CHILD PROTECTION UNIT COMPOSITE BUILDING COLLECTORATE PARISAR First flor, ROOM NO. 11 district- RAJNANDGAON C.G."
Chhattisgarh,Sukma,JITENDRA SINGH BAGHEL,7864-299101,dcpu[dot]sukma[at]gmail[dot]com,Collectorate Office Composite Building Women and Child Development Department Room No.43 Kumharas District Sukma Chhattisgarh Pin Code 494111
Chhattisgarh,Surajpur,Mr. Manoj jaiswal,7775-266499,icpssurajpur[at]gmail[dot]com,women and child development department office collectorate surajpur
Chhattisgarh,Surguja,VIKRAMANK SINGH,7774-224017,icpssurguja[at]gmail[dot]com,OFFICE DISTRICT PROGRAMME OFFICER WOMEN AND CHILD DEVELOPMENT DEPARTMENT COLLECTORATE CAMPUS AMBIKAPUR SURGUJA CHHATTISGARH
